제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
동수 씨 발년,,"동수게이 씨발 전과목을 이동수업으로 바꿔버리노ㅋㅋ
이새끼 교장 언제내려오냐
- dc official App","ㅇㅇ 2023.04.13 11:03:52
조회 961 추천 15 댓글 5",추천 15,조회 961,2023.04.13 11:03:52,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=349&page=2
질문 하나만 하자,,"05레저과 난교파티가 뭐노?
자세하게 말해줄 게이 있나","ㅇㅇ(61.254) 2023.04.08 12:40:34
조회 443 추천 5 댓글 0",추천 5,조회 443,2023.04.08 12:40:34,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=348&page=2
지금 다니는 삼공야붕게이 없노?,,"이번 신입게이들 싸가지 좆박았음 동수측근 게이들
- dc official App","현배 2023.03.21 21:48:17
조회 504 추천 1 댓글 2",추천 1,조회 504,2023.03.21 21:48:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=347&page=2
삼일공고 경찰과 실체,,"옆에 경찰과 지나가는데 부엉이바위 언급하던데
경찰과도 게이였노 ㅋㅋ
- dc official App","현배 2023.03.20 21:38:19
조회 1027 추천 4 댓글 5",추천 4,조회 1027,2023.03.20 21:38:19,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=346&page=2
ㅇㅇ,,ㅇㅇ,"ㅇㅇ(62.133) 2023.02.21 00:31:14
조회 180 추천 0 댓글 0",추천 0,조회 180,2023.02.21 00:31:14,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=342&page=2
와 20살 초봉 5천이 가능하구나,,피아이이,"ㅇㅇ(223.62) 2023.02.10 11:25:10
조회 593 추천 0 댓글 0",추천 0,조회 593,2023.02.10 11:25:10,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=340&page=2
사물과 기다려라,,내가 간다,"ㅇㅇ(175.195) 2023.01.05 14:54:18
조회 425 추천 0 댓글 1",추천 0,조회 425,2023.01.05 14:54:18,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=339&page=2
기계과 1학년중에 최종원 아시는분?,,학교에서 어떰,"맨유 2022.12.12 02:37:04
조회 493 추천 2 댓글 3",추천 2,조회 493,2022.12.12 02:37:04,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=338&page=2
레저과 특,,"가오만 존나잡음
실속 없음
반박시 저능
- dc official App","ㅇㅇ(223.38) 2022.11.30 20:50:10
조회 688 추천 4 댓글 3",추천 4,조회 688,2022.11.30 20:50:10,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=336&page=2
나였음 여기 안온다...,,"현직 고3이다 

삼일공고 다시 중3때로 돌아가면 그냥 얌전히 수원뻉뻉이로 수원인문계 갈거다

인문계가서 3~4등급 받는게 더 낫다

그만큼 더 노력은 해야되는하는데 이런 그지같은데 와서 놀고 먹고 자고 싸고 밖에 안할거면 그냥 인문계나 가라

뭐 씨발 지금 고3애들 졸업여행도 안보내줘~ 고2애들 내년 졸업여행 보내줄생각하고있어

04년들 방치시키기게임 진행중 

그리고 막 취업률 100% 이지랄하는데 병신같은 좆소가 대부분이고 좋은곳은 많아봐야 1~2개가 끝인거 같다

절대 도제는 하지마라 애들보면 학교오면 자고 평균내신 6~7이다

그래도 정작 올거면 들어오자마자 공무원 준비하던가 큰거 준비해라

그리고 선생들 겉모습만 좋음 ㅇㅇ 이번에 신입생 300명 정도던데 개불쌍하다

가끔 좋은 선생""님""들도 있고 병신같은 선생들도 있다 

그냥 오지마라 올거면 수공가라 애들아 삼상이나 삼공은 아니다","123(221.163) 2022.11.16 12:02:25
조회 716 추천 2 댓글 7",추천 2,조회 716,2022.11.16 12:02:25,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=334&page=2
동수종신기원 1일차,,1,"씨발학교(14.51) 2022.11.16 11:57:03
조회 222 추천 0 댓글 0",추천 0,조회 222,2022.11.16 11:57:03,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=333&page=2
여기 오면 인생망함?,,내신 150따리 중3인데 여기서 내신 1등급 맞고 공부 열심히 하면 좋은 대학교 갈 수 있다는데 ㄹㅇ임?,"ㅇㅇ(78.159) 2022.11.06 20:46:01
조회 481 추천 0 댓글 2",추천 0,조회 481,2022.11.06 20:46:01,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=332&page=2
이 학교 좋나요?,,"중3 내신 170정도 되는 학생인데요 학교 홍보 계속 오면서 여기 좋다고 열심히만 하면 대/공기업 갈 수 있다고 하는데
진짜인가요? 코딩 좋아해서 사물인터넷과 갈려고 하는데 사물인터넷과는 어떤가요?","ㅇㅇ(59.18) 2022.11.06 01:01:34
조회 425 추천 0 댓글 3",추천 0,조회 425,2022.11.06 01:01:34,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=331&page=2
이 학교 웃긴점 .fact,,동수는 남자인사 안받음 ㅋㅋ,"ㅇㅇ(211.114) 2022.08.29 13:08:37
조회 636 추천 3 댓글 2",추천 3,조회 636,2022.08.29 13:08:37,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=328&page=2
경찰과 제일 ㅂㅅ같은점,,"방학 주말 다 포기하고 공부 존나하는데
년에 경찰합격 많아야 한두명ㅋㅋㅋㅋㅋㅋㅋ
나머지는 싹다 부사관ㅋㅋㅋㅋㅋㅋ
지들이 뭐라도 된것마냥 경찰 정복 따라한 교복 입고댕기는데
현실은 그냥 오또케 오또케 여경 양성소
제일 이해 안되는 ㅂㅅ과","ㅇㅇ(106.240) 2022.08.25 14:01:44
조회 1226 추천 41 댓글 5",추천 41,조회 1226,2022.08.25 14:01:44,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=326&page=2
동수씨 발련,,씨발련,"ㅗ(112.149) 2022.07.28 15:57:00
조회 622 추천 12 댓글 0",추천 12,조회 622,2022.07.28 15:57:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=309&page=2
삼일공고 개좆밥들아ㅋㅋ,,"수원고로 와라 싸우게
- dc official App","ㅇㅇ(211.114) 2022.06.27 13:45:55
조회 641 추천 3 댓글 2",추천 3,조회 641,2022.06.27 13:45:55,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=278&page=2
안녕 게이들아 3학년이다,,질문 싹다 받는다 궁금한거 있냐?,"여긴안된다...(121.137) 2022.06.19 00:28:00
조회 468 추천 0 댓글 2",추천 0,조회 468,2022.06.19 00:28:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=269&page=2
게이들아...,,고민이다...요즘 육덕녀가 ㅈㄴ 꼴린다.길 가다가도 청바지 입은 육덕보면 스틱이 바로 슨다.이게 정상이냐?,"Se ex(175.195) 2022.06.16 02:15:52
조회 331 추천 0 댓글 2",추천 0,조회 331,2022.06.16 02:15:52,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=264&page=2
여기 갤주는 누구냐,,김동수임?,"ㅇㅇ(211.114) 2022.06.13 15:05:37
조회 261 추천 1 댓글 0",추천 1,조회 261,2022.06.13 15:05:37,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=262&page=2
니네가 아무리 뭐라고 그래도,,"선생이라는 칭호도 아까운 사물과 권ㅇㅎ가 개 병신 머저리새끼라는건 변함없다.

난 어쩌다 저런 새끼가 선생이 된 건지 당최 이해를 할 수가 없다.

개인적으로 김동수보다 싫음. 걘 최소한 나한테 직접적인 피해는 안 주거든.

아무튼 씨발년아 선생질 그따위로 할 거면 걍 접어라 ㅋ

ㄹㅇ 그냥 관련 전공 대학생이 와도 니보단 훨씬 잘 가르칠 듯?

- H동 쓰는 김XX가","ㅇㅇ(223.38) 2022.06.05 23:35:09
조회 284 추천 1 댓글 0",추천 1,조회 284,2022.06.05 23:35:09,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=253&page=2
삼공으로 전학가서 대학갈려하는데 어때요?,,"올1등급맞고 대학가고싶어요
- dc official App","ㅇㅇ(175.123) 2022.06.03 21:15:40
조회 491 추천 0 댓글 3",추천 0,조회 491,2022.06.03 21:15:40,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=250&page=2
아니 급식 씨발 왜 3학년이 마지막인데,,"ㅈㄱㄴ
이런 개씨발 학교 왜 이러는거야 도대체","ㅇㅇ(221.163) 2022.06.02 14:44:30
조회 314 추천 1 댓글 0",추천 1,조회 314,2022.06.02 14:44:30,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=248&page=2
하 시발 돼지년들 보면 왤캐 패고싶냐,,"학교 다니다보면다리 하나 두께가 성인 남성 몸통만한 여자애들 자주 보이던데
제발 살좀 빼면 안되냐 못빼겠으면 치마라도 입지 말던가
보는 사람 생각은 안하는건가","ㅇㅇ(125.178) 2022.05.21 17:14:58
조회 683 추천 8 댓글 1",추천 8,조회 683,2022.05.21 17:14:58,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=235&page=2
삼일공고 ㄹㅇ 망했다,,"김동수 헤응
- dc official App","코잉히 2022.05.11 13:29:36
조회 287 추천 0 댓글 0",추천 0,조회 287,2022.05.11 13:29:36,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=227&page=2
애들아 아직도 학교 잘 다니냐,,"잼는사건들 없노
- dc official App","ㅇㅇ(182.211) 2022.05.06 05:25:19
조회 238 추천 0 댓글 0",추천 0,조회 238,2022.05.06 05:25:19,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=225&page=2
개꼰대가오충과,,05 레저과,"ㅇㅇ(221.150) 2022.04.25 23:08:42
조회 547 추천 7 댓글 4",추천 7,조회 547,2022.04.25 23:08:42,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=224&page=3
개병신 애미뒤진 학교 아니랄까봐,,"병신 틀딱 꼰대새끼들이 너무 많노
교복갖고 ㅈㄹ하는거 진짜 개싸대기 마렵네","ㅇㅇ(125.178) 2022.04.22 07:44:23
조회 571 추천 5 댓글 2",추천 5,조회 571,2022.04.22 07:44:23,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=223&page=3
응기잇 특공대 가입하실분 디엠,,khan-ride out 많이 들어주세요,"고죠 사토루(211.114) 2022.04.11 12:21:30
조회 254 추천 0 댓글 1",추천 0,조회 254,2022.04.11 12:21:30,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=222&page=3
중라이다,,게토스그루,"최우성(211.114) 2022.04.11 12:20:41
조회 157 추천 0 댓글 0",추천 0,조회 157,2022.04.11 12:20:41,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=221&page=3
삼일공고 ㄹㅇ 망했다,,응기잇,"최우성(211.114) 2022.04.11 12:20:00
조회 543 추천 1 댓글 0",추천 1,조회 543,2022.04.11 12:20:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=220&page=3
삼일공고 재학생 최우성 한마디합니다,,"학교 욕을 할때는 근거를 제시하고 객관적으로 합시다!
-삼일공고 최우성-","최우성(211.114) 2022.04.11 11:37:47
조회 731 추천 2 댓글 4",추천 2,조회 731,2022.04.11 11:37:47,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=219&page=3
경찰과 특,,ㅂㅅ같은 여경 오또케 양성소,"ㅇㅇ(125.178) 2022.03.24 07:29:44
조회 968 추천 23 댓글 2",추천 23,조회 968,2022.03.24 07:29:44,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=218&page=3
노무현,,노무현,"ㅇㅇ(110.14) 2022.03.19 22:19:28
조회 265 추천 0 댓글 3",추천 0,조회 265,2022.03.19 22:19:28,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=216&page=3
삼일공고 이름 바뀌었네? 우리때 개양아치학교였는데,,"그옆에 상일여고 애들 걸레들 많아서
삼일 공고애들 술마시면서 술 먹이고 돌림빵하고
그러다 애 임심해서 지랄난 경우 종종있었는데","ㄷㄷ(220.71) 2022.03.11 13:47:49
조회 3712 추천 5 댓글 3",추천 5,조회 3712,2022.03.11 13:47:49,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=215&page=3
내 인생 최고의 후회 삼일공업고등학교,,"학교에서 암만 열심히해봤자 취업시장에서는 
고졸이라고 무시하고 어리다고 무시함
그래서 개빡쳐서 4년제 대학 가려고 말버둥치다가 
입학하게 되었다 
아무리 논리 적으로 생각해도 대학 입학전 사작배우는 전공부업만해도 이미 
특성화고 1년반 정도의 수업의 질이다 그 이상일 수도 있고 
몇몇 선생 같지도 않은 사람은 ㅈ도 없으면서 있는척하고 부심부리고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
진짜 한숨 밖에 안나온다 제발 부탁한다 양심있으면 대학이라도 잘가게 가르치던가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
공부 진짜 ㅈ도 안하는 애들은 상관없는데 
홍보부 시켜서 애들에게 사기치고 내신 150정도 되는 애들 델고 뭐하는거얔ㅋㅋㅋㅋㅋㅋ
진짜 양심있으면 그런애들은 일반고 보내자... 헤여","ㅋㅋㅋㅋ(223.38) 2022.02.20 15:49:52
조회 1085 추천 10 댓글 13",추천 10,조회 1085,2022.02.20 15:49:52,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=214&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаsz 2022.02.18 06:57:42
조회 261 추천 1 댓글 0",추천 1,조회 261,2022.02.18 06:57:42,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=213&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаsz 2022.02.17 06:29:58
조회 69 추천 1 댓글 0",추천 1,조회 69,2022.02.17 06:29:58,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=212&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаsz 2022.02.16 07:37:48
조회 48 추천 1 댓글 0",추천 1,조회 48,2022.02.16 07:37:48,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=211&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаsz 2022.02.15 02:04:33
조회 43 추천 1 댓글 0",추천 1,조회 43,2022.02.15 02:04:33,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=210&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.14 03:48:03
조회 52 추천 1 댓글 0",추천 1,조회 52,2022.02.14 03:48:03,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=209&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.13 00:59:30
조회 32 추천 1 댓글 0",추천 1,조회 32,2022.02.13 00:59:30,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=208&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.12 10:59:38
조회 37 추천 1 댓글 0",추천 1,조회 37,2022.02.12 10:59:38,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=207&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.10 04:56:13
조회 33 추천 1 댓글 0",추천 1,조회 33,2022.02.10 04:56:13,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=206&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.09 02:50:29
조회 73 추천 1 댓글 0",추천 1,조회 73,2022.02.09 02:50:29,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=205&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.08 05:40:00
조회 37 추천 1 댓글 0",추천 1,조회 37,2022.02.08 05:40:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=204&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.07 00:08:10
조회 65 추천 1 댓글 0",추천 1,조회 65,2022.02.07 00:08:10,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=203&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.06 01:34:06
조회 30 추천 1 댓글 0",추천 1,조회 30,2022.02.06 01:34:06,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=202&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.05 11:17:58
조회 26 추천 1 댓글 0",추천 1,조회 26,2022.02.05 11:17:58,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=201&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.04 00:08:10
조회 35 추천 1 댓글 0",추천 1,조회 35,2022.02.04 00:08:10,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=200&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.03 00:01:05
조회 26 추천 1 댓글 0",추천 1,조회 26,2022.02.03 00:01:05,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=199&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.02 00:04:02
조회 26 추천 1 댓글 0",추천 1,조회 26,2022.02.02 00:04:02,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=198&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.02.01 00:38:49
조회 24 추천 1 댓글 0",추천 1,조회 24,2022.02.01 00:38:49,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=197&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.01.31 01:25:10
조회 27 추천 1 댓글 0",추천 1,조회 27,2022.01.31 01:25:10,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=196&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.01.30 00:16:35
조회 33 추천 1 댓글 0",추천 1,조회 33,2022.01.30 00:16:35,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=195&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.01.29 00:40:47
조회 20 추천 1 댓글 0",추천 1,조회 20,2022.01.29 00:40:47,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=194&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.01.28 03:51:03
조회 20 추천 1 댓글 0",추천 1,조회 20,2022.01.28 03:51:03,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=193&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.01.27 00:00:23
조회 19 추천 1 댓글 0",추천 1,조회 19,2022.01.27 00:00:23,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=192&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"Adidаs 2022.01.26 03:35:42
조회 30 추천 1 댓글 0",추천 1,조회 30,2022.01.26 03:35:42,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=191&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.25 00:01:21
조회 19 추천 0 댓글 0",추천 0,조회 19,2022.01.25 00:01:21,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=190&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.24 02:01:28
조회 22 추천 1 댓글 0",추천 1,조회 22,2022.01.24 02:01:28,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=189&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.23 00:45:35
조회 27 추천 1 댓글 0",추천 1,조회 27,2022.01.23 00:45:35,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=188&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.22 01:43:02
조회 26 추천 1 댓글 0",추천 1,조회 26,2022.01.22 01:43:02,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=187&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.21 23:00:08
조회 22 추천 1 댓글 0",추천 1,조회 22,2022.01.21 23:00:08,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=186&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.20 00:17:07
조회 35 추천 1 댓글 0",추천 1,조회 35,2022.01.20 00:17:07,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=185&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.19 00:13:05
조회 28 추천 1 댓글 0",추천 1,조회 28,2022.01.19 00:13:05,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=184&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.18 05:01:29
조회 22 추천 1 댓글 0",추천 1,조회 22,2022.01.18 05:01:29,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=183&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.17 05:34:32
조회 41 추천 1 댓글 0",추천 1,조회 41,2022.01.17 05:34:32,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=182&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.16 01:35:38
조회 27 추천 1 댓글 0",추천 1,조회 27,2022.01.16 01:35:38,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=181&page=3
다들 삼공 안 좋다고 ㅈㄹ하는데,,"그냥 ㅅㅂ 학교가 ㅂㅅ이거나 우리가 ㅂㅅ이거나 둘 중 하나다 그냥 삼공 갤러리에서 지랄하지 말고 현생 살아

난 해방이다 수고해 삼공인들아","ㅇㅇ(211.33) 2022.01.15 16:32:33
조회 460 추천 3 댓글 0",추천 3,조회 460,2022.01.15 16:32:33,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=180&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.15 03:47:06
조회 39 추천 1 댓글 0",추천 1,조회 39,2022.01.15 03:47:06,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=179&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.14 01:26:05
조회 22 추천 1 댓글 0",추천 1,조회 22,2022.01.14 01:26:05,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=178&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.13 01:14:16
조회 19 추천 1 댓글 0",추천 1,조회 19,2022.01.13 01:14:16,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=177&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.12 00:19:48
조회 23 추천 1 댓글 0",추천 1,조회 23,2022.01.12 00:19:48,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=176&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.11 21:36:14
조회 24 추천 1 댓글 0",추천 1,조회 24,2022.01.11 21:36:14,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=175&page=3
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.10 01:02:15
조회 30 추천 1 댓글 0",추천 1,조회 30,2022.01.10 01:02:15,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=174&page=3
좆소 간다 ㅆ1발,,하 인생 ㅈ됬노 ㅆ발,"ㅇㅇ(211.176) 2022.01.09 03:57:46
조회 400 추천 1 댓글 2",추천 1,조회 400,2022.01.09 03:57:46,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=173&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.09 00:30:07
조회 48 추천 1 댓글 0",추천 1,조회 48,2022.01.09 00:30:07,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=172&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.08 02:37:48
조회 21 추천 1 댓글 0",추천 1,조회 21,2022.01.08 02:37:48,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=171&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.07 03:29:45
조회 21 추천 1 댓글 0",추천 1,조회 21,2022.01.07 03:29:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=170&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.06 00:02:26
조회 21 추천 1 댓글 0",추천 1,조회 21,2022.01.06 00:02:26,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=169&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.05 01:19:12
조회 20 추천 1 댓글 0",추천 1,조회 20,2022.01.05 01:19:12,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=168&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.04 02:42:00
조회 19 추천 1 댓글 0",추천 1,조회 19,2022.01.04 02:42:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=167&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.03 17:48:41
조회 29 추천 1 댓글 0",추천 1,조회 29,2022.01.03 17:48:41,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=166&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2022.01.02 15:20:48
조회 25 추천 1 댓글 0",추천 1,조회 25,2022.01.02 15:20:48,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=165&page=4
삼일공고 올해도 좆망할 예정,,ㄹㅇ,"kаntrawls 2022.01.01 23:08:34
조회 252 추천 2 댓글 0",추천 2,조회 252,2022.01.01 23:08:34,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=164&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"kаntrawls 2021.12.31 00:58:06
조회 38 추천 1 댓글 0",추천 1,조회 38,2021.12.31 00:58:06,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=163&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"10 2021.12.30 07:40:59
조회 28 추천 1 댓글 0",추천 1,조회 28,2021.12.30 07:40:59,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=162&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"10 2021.12.29 00:11:28
조회 23 추천 1 댓글 0",추천 1,조회 23,2021.12.29 00:11:28,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=161&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"10 2021.12.28 00:53:15
조회 22 추천 1 댓글 0",추천 1,조회 22,2021.12.28 00:53:15,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=160&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"중한노 2021.12.27 02:01:11
조회 27 추천 1 댓글 0",추천 1,조회 27,2021.12.27 02:01:11,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=159&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"중한노 2021.12.26 01:58:22
조회 27 추천 1 댓글 0",추천 1,조회 27,2021.12.26 01:58:22,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=158&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"중한노 2021.12.25 23:01:37
조회 30 추천 1 댓글 0",추천 1,조회 30,2021.12.25 23:01:37,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=157&page=4
삼일공고 ㄹㅇ 망했다,,ㄹㅇ,"중한노 2021.12.24 02:18:03
조회 31 추천 1 댓글 0",추천 1,조회 31,2021.12.24 02:18:03,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=156&page=4
