제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
봉사는,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:24
조회 31 추천 1 댓글 0",추천 1,조회 31,2022.04.23 22:01:24,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=37&page=2
동원의 맥박,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:18
조회 45 추천 1 댓글 0",추천 1,조회 45,2022.04.23 22:01:18,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=36&page=2
빛내어라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:10
조회 37 추천 1 댓글 0",추천 1,조회 37,2022.04.23 22:01:10,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=35&page=2
나라와,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:04
조회 37 추천 1 댓글 0",추천 1,조회 37,2022.04.23 22:01:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=34&page=2
겨레의 이름,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:52
조회 41 추천 1 댓글 0",추천 1,조회 41,2022.04.23 22:00:52,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=33&page=2
번영하라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:29
조회 53 추천 1 댓글 0",추천 1,조회 53,2022.04.23 22:00:29,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=32&page=2
영원하라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:23
조회 46 추천 1 댓글 0",추천 1,조회 46,2022.04.23 22:00:23,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=31&page=2
동원고교,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:16
조회 111 추천 1 댓글 0",추천 1,조회 111,2022.04.23 22:00:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=30&page=2
고1과 첫 시험.jpg,,"아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ






















야.. 너두?","ㄹㄹ(211.184) 2022.04.17 16:25:31
조회 541 추천 1 댓글 0",추천 1,조회 541,2022.04.17 16:25:31,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=29&page=2
신입들 환영한다,,니들 3학년때 학교 재건축 공사함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(219.240) 2022.04.10 15:35:07
조회 176 추천 0 댓글 0",추천 0,조회 176,2022.04.10 15:35:07,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=28&page=2
11반 그 놈은 듣거라,,우리 게이는 그게 없니..?,"ㅇㅇ(223.38) 2022.04.07 18:35:01
조회 474 추천 3 댓글 2",추천 3,조회 474,2022.04.07 18:35:01,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=27&page=2
스마트폰중독ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋ,"ㅇㅇ(211.114) 2022.04.06 16:32:19
조회 127 추천 1 댓글 0",추천 1,조회 127,2022.04.06 16:32:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=26&page=2
아 씨발 남녀공학을 갔어야 했는데,,살려줘여,"ㅇㅇ(223.39) 2022.03.22 20:08:09
조회 379 추천 1 댓글 0",추천 1,조회 379,2022.03.22 20:08:09,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=23&page=2
지학실 태양의 연주운동이랑 황도 12궁 교구,,그거 지구 잘 보면 러시아가 아니고 소비에트 연방이었는데 아직도 그럼?,"긴축재정 2022.03.22 12:16:02
조회 101 추천 0 댓글 0",추천 0,조회 101,2022.03.22 12:16:02,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=22&page=2
수성고 정예학생들 1-12반 모여라,,웃흥,"ㅇㅇ(59.12) 2022.03.21 21:16:40
조회 882 추천 19 댓글 4",추천 19,조회 882,2022.03.21 21:16:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=21&page=2
응애 나 아기 1학년,,대ㅋㅋㅋㅋㅋㅋ수ㅋㅋㅋㅋㅋ성ㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(14.4) 2022.03.21 18:14:55
조회 134 추천 1 댓글 0",추천 1,조회 134,2022.03.21 18:14:55,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=20&page=2
수마갤 터진거 아니었냐,,왜 다시 됨?,"긴축재정 2022.03.20 16:50:05
조회 168 추천 0 댓글 1",추천 0,조회 168,2022.03.20 16:50:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=19&page=2
어떻게 새학년 되고 아직까지 글이 없노,,"수성고는 씹게이밖에 없노?
- dc official App","ㅇㅇ(223.39) 2022.03.20 12:27:03
조회 254 추천 2 댓글 1",추천 2,조회 254,2022.03.20 12:27:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=18&page=2
응애,,ㅇ,"ㅇㅇ(211.36) 2022.02.06 13:31:17
조회 102 추천 0 댓글 0",추천 0,조회 102,2022.02.06 13:31:17,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=16&page=2
뭐야,,이런 갤러리도 있네,"잠도못잔다야(124.50) 2022.01.30 09:16:54
조회 134 추천 0 댓글 0",추천 0,조회 134,2022.01.30 09:16:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=15&page=2
잘부탁드립니다....,,장안썼다가 미끄러진 수성게이입니다.잘부탁듭립니다 선배님들,"ㅎㅈ(61.101) 2022.01.28 14:58:28
조회 235 추천 0 댓글 1",추천 0,조회 235,2022.01.28 14:58:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=13&page=2
여기 뭐냐?,,13년 졸업 틀딱인데 이런게 생겼노ㅋㅋ,"ㅇㅇ(219.240) 2022.01.25 20:49:20
조회 322 추천 0 댓글 2",추천 0,조회 322,2022.01.25 20:49:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=12&page=2
05년생 헬스하는 여고생 힙 ㄷㄷ...,,"섹시하다
- dc official App","귀요미(211.44) 2022.01.24 23:22:47
조회 871 추천 3 댓글 4",추천 3,조회 871,2022.01.24 23:22:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=11&page=2
수성고 게이들 많노?,,"똥꼬충 새끼들 에이즈 걸려 뒤져라ㅋㅋ
- dc official App","빌리(211.44) 2022.01.13 23:06:42
조회 368 추천 0 댓글 0",추천 0,조회 368,2022.01.13 23:06:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=7&page=2
ㅈ같다,,좆수성 5년차다 자살하고 싶다.. 공학다니는 새끼들은 떡치고 다하고 살던데 자살하고 싶다.,"전설의 핵주먹(223.38) 2022.01.13 20:46:39
조회 757 추천 9 댓글 2",추천 9,조회 757,2022.01.13 20:46:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=6&page=2
시발,,수성고 좆같다 시발,"전설의 핵주먹(223.38) 2022.01.13 20:44:47
조회 177 추천 1 댓글 0",추천 1,조회 177,2022.01.13 20:44:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=5&page=2
수붕이들 반갑다,,즐거운 갤질하자 게이들아,"수성진골 2022.01.13 18:25:15
조회 221 추천 4 댓글 1",추천 4,조회 221,2022.01.13 18:25:15,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=4&page=2
수성 올해로 5년차 05다,,"반갑노 게이들아
- dc official App","수성성골 2022.01.13 16:12:36
조회 870 추천 5 댓글 1",추천 5,조회 870,2022.01.13 16:12:36,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=3&page=2
갤러리 처음 온 게이들은 공지를 보자,,바람직한 갤질을 하자 이거야,"수성완장 2022.01.13 16:01:28
조회 774 추천 4 댓글 4",추천 4,조회 774,2022.01.13 16:01:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=2&page=2
노무현,,노무현,"ㅇㅇ(211.36) 2022.04.28 12:06:26
조회 423 추천 7 댓글 2",추천 7,조회 423,2022.04.28 12:06:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=50&page=2
1학년 핏덩이들 얼굴 왜 이렇게 삭았냐,,한번 삶았냐,"ㅇㅇ(58.122) 2022.04.23 22:12:40
조회 936 추천 11 댓글 2",추천 11,조회 936,2022.04.23 22:12:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=49&page=2
백두대간,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:16
조회 159 추천 2 댓글 1",추천 2,조회 159,2022.04.23 22:06:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=48&page=2
억만년,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:04
조회 48 추천 1 댓글 0",추천 1,조회 48,2022.04.23 22:06:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=47&page=2
다진 터전에,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:05:54
조회 41 추천 0 댓글 0",추천 0,조회 41,2022.04.23 22:05:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=45&page=2
홍익인간,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:26
조회 38 추천 0 댓글 0",추천 0,조회 38,2022.04.23 22:02:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=44&page=2
위대한,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:19
조회 56 추천 0 댓글 0",추천 0,조회 56,2022.04.23 22:02:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=43&page=2
꿈을 심었네,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:13
조회 37 추천 0 댓글 0",추천 0,조회 37,2022.04.23 22:02:13,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=42&page=2
진리와,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:03
조회 48 추천 1 댓글 0",추천 1,조회 48,2022.04.23 22:02:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=41&page=2
정의는,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:57
조회 35 추천 0 댓글 0",추천 0,조회 35,2022.04.23 22:01:57,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=40&page=2
동원의 기상,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:47
조회 70 추천 1 댓글 0",추천 1,조회 70,2022.04.23 22:01:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=39&page=2
사랑과,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:30
조회 40 추천 0 댓글 0",추천 0,조회 40,2022.04.23 22:01:30,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=38&page=2
봉사는,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:24
조회 32 추천 1 댓글 0",추천 1,조회 32,2022.04.23 22:01:24,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=37&page=2
동원의 맥박,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:18
조회 46 추천 1 댓글 0",추천 1,조회 46,2022.04.23 22:01:18,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=36&page=2
빛내어라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:10
조회 38 추천 1 댓글 0",추천 1,조회 38,2022.04.23 22:01:10,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=35&page=2
나라와,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:04
조회 38 추천 1 댓글 0",추천 1,조회 38,2022.04.23 22:01:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=34&page=2
겨레의 이름,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:52
조회 42 추천 1 댓글 0",추천 1,조회 42,2022.04.23 22:00:52,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=33&page=2
번영하라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:29
조회 54 추천 1 댓글 0",추천 1,조회 54,2022.04.23 22:00:29,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=32&page=2
영원하라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:23
조회 47 추천 1 댓글 0",추천 1,조회 47,2022.04.23 22:00:23,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=31&page=2
동원고교,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:16
조회 112 추천 1 댓글 0",추천 1,조회 112,2022.04.23 22:00:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=30&page=2
고1과 첫 시험.jpg,,"아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ






















야.. 너두?","ㄹㄹ(211.184) 2022.04.17 16:25:31
조회 542 추천 1 댓글 0",추천 1,조회 542,2022.04.17 16:25:31,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=29&page=2
신입들 환영한다,,니들 3학년때 학교 재건축 공사함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(219.240) 2022.04.10 15:35:07
조회 177 추천 0 댓글 0",추천 0,조회 177,2022.04.10 15:35:07,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=28&page=2
11반 그 놈은 듣거라,,우리 게이는 그게 없니..?,"ㅇㅇ(223.38) 2022.04.07 18:35:01
조회 475 추천 3 댓글 2",추천 3,조회 475,2022.04.07 18:35:01,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=27&page=2
스마트폰중독ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋ,"ㅇㅇ(211.114) 2022.04.06 16:32:19
조회 128 추천 1 댓글 0",추천 1,조회 128,2022.04.06 16:32:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=26&page=2
아 씨발 남녀공학을 갔어야 했는데,,살려줘여,"ㅇㅇ(223.39) 2022.03.22 20:08:09
조회 380 추천 1 댓글 0",추천 1,조회 380,2022.03.22 20:08:09,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=23&page=2
지학실 태양의 연주운동이랑 황도 12궁 교구,,그거 지구 잘 보면 러시아가 아니고 소비에트 연방이었는데 아직도 그럼?,"긴축재정 2022.03.22 12:16:02
조회 102 추천 0 댓글 0",추천 0,조회 102,2022.03.22 12:16:02,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=22&page=2
수성고 정예학생들 1-12반 모여라,,웃흥,"ㅇㅇ(59.12) 2022.03.21 21:16:40
조회 883 추천 19 댓글 4",추천 19,조회 883,2022.03.21 21:16:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=21&page=2
응애 나 아기 1학년,,대ㅋㅋㅋㅋㅋㅋ수ㅋㅋㅋㅋㅋ성ㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(14.4) 2022.03.21 18:14:55
조회 135 추천 1 댓글 0",추천 1,조회 135,2022.03.21 18:14:55,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=20&page=2
수마갤 터진거 아니었냐,,왜 다시 됨?,"긴축재정 2022.03.20 16:50:05
조회 169 추천 0 댓글 1",추천 0,조회 169,2022.03.20 16:50:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=19&page=2
어떻게 새학년 되고 아직까지 글이 없노,,"수성고는 씹게이밖에 없노?
- dc official App","ㅇㅇ(223.39) 2022.03.20 12:27:03
조회 255 추천 2 댓글 1",추천 2,조회 255,2022.03.20 12:27:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=18&page=2
응애,,ㅇ,"ㅇㅇ(211.36) 2022.02.06 13:31:17
조회 103 추천 0 댓글 0",추천 0,조회 103,2022.02.06 13:31:17,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=16&page=2
뭐야,,이런 갤러리도 있네,"잠도못잔다야(124.50) 2022.01.30 09:16:54
조회 135 추천 0 댓글 0",추천 0,조회 135,2022.01.30 09:16:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=15&page=2
잘부탁드립니다....,,장안썼다가 미끄러진 수성게이입니다.잘부탁듭립니다 선배님들,"ㅎㅈ(61.101) 2022.01.28 14:58:28
조회 236 추천 0 댓글 1",추천 0,조회 236,2022.01.28 14:58:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=13&page=2
여기 뭐냐?,,13년 졸업 틀딱인데 이런게 생겼노ㅋㅋ,"ㅇㅇ(219.240) 2022.01.25 20:49:20
조회 323 추천 0 댓글 2",추천 0,조회 323,2022.01.25 20:49:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=12&page=2
05년생 헬스하는 여고생 힙 ㄷㄷ...,,"섹시하다
- dc official App","귀요미(211.44) 2022.01.24 23:22:47
조회 872 추천 3 댓글 4",추천 3,조회 872,2022.01.24 23:22:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=11&page=2
수성고 게이들 많노?,,"똥꼬충 새끼들 에이즈 걸려 뒤져라ㅋㅋ
- dc official App","빌리(211.44) 2022.01.13 23:06:42
조회 369 추천 0 댓글 0",추천 0,조회 369,2022.01.13 23:06:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=7&page=2
ㅈ같다,,좆수성 5년차다 자살하고 싶다.. 공학다니는 새끼들은 떡치고 다하고 살던데 자살하고 싶다.,"전설의 핵주먹(223.38) 2022.01.13 20:46:39
조회 758 추천 9 댓글 2",추천 9,조회 758,2022.01.13 20:46:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=6&page=2
시발,,수성고 좆같다 시발,"전설의 핵주먹(223.38) 2022.01.13 20:44:47
조회 178 추천 1 댓글 0",추천 1,조회 178,2022.01.13 20:44:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=5&page=2
수붕이들 반갑다,,즐거운 갤질하자 게이들아,"수성진골 2022.01.13 18:25:15
조회 222 추천 4 댓글 1",추천 4,조회 222,2022.01.13 18:25:15,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=4&page=2
수성 올해로 5년차 05다,,"반갑노 게이들아
- dc official App","수성성골 2022.01.13 16:12:36
조회 871 추천 5 댓글 1",추천 5,조회 871,2022.01.13 16:12:36,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=3&page=2
갤러리 처음 온 게이들은 공지를 보자,,바람직한 갤질을 하자 이거야,"수성완장 2022.01.13 16:01:28
조회 775 추천 4 댓글 4",추천 4,조회 775,2022.01.13 16:01:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=2&page=2
